D1-Memory D1-Naive D2-Memory D3-Memory D3-Naive D4-Memory D4-Naive
FO538757.2 387 448 480 490 712 543 715
AP006222.2 374 500 539 631 1013 641 852
RP4-669L17.10 18 16 9 6 8 3 5
RP11-206L10.9 92 132 80 94 170 113 163
LINC00115 22 81 30 28 162 39 106
FAM41C 29 29 34 48 59 42 50
NOC2L 1170 1011 1463 948 1171 1608 1577
KLHL17 48 34 49 51 33 60 46
PLEKHN1 222 65 313 301 103 420 241
ISG15 76935 41257 96517 81170 33616 138851 103778
AGRN 92 111 71 68 145 86 162
C1orf159 123 74 133 82 74 126 88
TNFRSF18 4378 3663 3565 4424 4456 2586 2739
TNFRSF4 13342 4727 12823 12033 5513 14150 5635
SDF4 3148 1644 3111 2848 1916 3731 1846
B3GALT6 160 152 232 139 167 235 212
UBE2J2 1562 1195 1857 1331 1411 1949 1431
ACAP3 188 232 256 184 342 216 312
PUSL1 382 247 540 288 297 522 400
CPSF3L 1257 982 1484 1125 1105 1668 1232
CPTP 369 287 465 354 352 587 422
DVL1 45 53 65 50 92 66 109
AURKAIP1 5457 4143 7209 4605 4581 7483 5730
CCNL2 698 579 848 680 769 936 945
MRPL20 4884 3712 5970 3618 2992 5912 4317
RP4-758J18.13 10 6 10 6 3 11 10
ATAD3C 35 36 46 76 72 86 99
ATAD3B 422 152 713 339 139 503 294
ATAD3A 679 251 1065 606 267 1120 557
SSU72 3895 3322 4740 3594 4205 4986 5009
RP5-832C2.5 81 148 112 73 160 121 180
C1orf233 6 7 20 4 16 19 17
RP11-345P4.9 74 97 55 62 160 81 143
MIB2 928 978 1287 934 1295 1436 1515
MMP23B 36 13 10 6 13 18 18
CDK11B 969 756 1168 724 725 1327 970
RP11-345P4.10 14 11 21 12 10 21 14
SLC35E2B 261 361 275 239 425 375 512
CDK11A 701 545 931 601 617 890 707
SLC35E2 47 35 57 58 60 64 54
NADK 393 149 618 343 135 632 291
GNB1 2142 1944 2626 1962 2164 3274 2762
PRKCZ 156 110 181 163 166 181 182
RP5-892K4.1 14 10 14 17 13 13 15
FAAP20 2940 2380 3211 2708 2589 3557 3024
SKI 133 148 181 130 192 162 189
MORN1 48 12 53 34 28 57 40
RER1 3630 2109 4775 2743 2237 5279 3234
PEX10 310 189 316 217 239 459 305
